car_id,part,km_diff,days_diff,needs_change
5164,spark_plugs,20502,150,0
5162,spark_plugs,26331,337,1
5163,spark_plugs,33895,469,1
5163,air_filter,13557,149,1
5166,belts_kit,15497,403,0
5165,tire,49099,694,1
5169,spark_plugs,20613,255,0
5165,wire_set,35902,289,0
5168,belts_kit,50651,623,1
5169,timing_chain,40639,496,0
5163,brake_pads,10036,168,0
5167,wire_set,50405,594,1
5167,battery,18226,505,0
5169,belts_kit,22888,384,0
5169,brake_fluid_r,34535,496,1
5164,brake_fluid_p,11986,196,0
5163,timing_chain,19958,437,0
5162,wire_set,39020,486,0
5163,brake_fluid_r,37578,401,1
5166,brake_pads,21070,329,1
5171,timing_chain,56681,608,1
5165,timing_chain,52594,636,1
5171,brake_fluid_p,23271,342,0
5171,brake_pads,21304,306,1
5164,belts_kit,40307,559,1
5166,belts_kit,45107,616,1
5165,brake_fluid_r,11312,208,0
5162,tire,13195,297,0
5162,tire,25176,308,0
5162,brake_pads,15328,237,0
5169,spark_plugs,26962,341,1
5168,fuel_filter,6120,222,0
5170,wire_set,21721,309,0
5164,belts_kit,34383,470,1
5169,air_filter,12496,147,1
5169,air_filter,14927,192,1
5168,wire_set,27116,279,0
5165,tire,19759,257,0
5164,belts_kit,29009,304,0
5163,belts_kit,18501,278,0
5164,air_filter,13236,136,1
5164,fuel_filter,15521,322,0
5162,brake_pads,27151,458,1
5170,wire_set,20256,215,0
5170,brake_fluid_p,14760,224,0
5167,fuel_filter,22582,439,1
5170,spark_plugs,24561,308,1
5171,brake_fluid_r,24260,281,1
5166,brake_fluid_p,35001,369,1
5167,belts_kit,37135,458,1
5168,fuel_filter,19983,419,1
5166,tire,29887,299,0
5169,timing_chain,34961,476,0
5168,brake_fluid_r,39937,407,1
5168,battery,46990,668,1
5171,fuel_filter,8742,148,0
5162,tire,47549,553,1
5167,brake_pads,11046,260,0
5163,fuel_filter,7630,220,0
5164,brake_fluid_p,36265,421,1
5168,air_filter,10052,69,0
5166,spark_plugs,12754,172,0
5168,wire_set,23016,411,0
5163,brake_fluid_p,26062,304,1
5168,battery,16279,533,0
5167,battery,58770,742,1
5170,wire_set,55587,707,1
5167,tire,54870,710,1
5167,fuel_filter,7506,121,0
5171,brake_fluid_p,27981,320,1
5168,battery,25011,468,0
5163,belts_kit,41275,575,1
5169,brake_pads,20702,314,1
5168,timing_chain,74099,826,1
5169,air_filter,13414,141,1
5171,brake_fluid_p,15485,174,0
5165,battery,32107,406,0
5164,brake_pads,34592,355,1
5168,air_filter,13685,154,1
5171,wire_set,61410,646,1
5162,brake_pads,13592,159,0
5168,brake_fluid_p,18054,159,0
5163,timing_chain,56295,621,1
5170,battery,53939,915,1
5162,wire_set,36276,167,0
5168,brake_pads,12058,170,0
5170,tire,20554,334,0
5164,air_filter,13032,163,1
5168,spark_plugs,30335,362,1
5170,brake_fluid_r,38239,470,1
5162,brake_fluid_r,11825,171,0
5162,fuel_filter,9109,112,0
5166,brake_fluid_p,17988,262,0
5163,timing_chain,69112,821,1
5170,fuel_filter,25836,404,1
5171,fuel_filter,8241,134,0
5166,belts_kit,22312,245,0
5165,brake_fluid_r,19623,227,0
5168,battery,58562,738,1
5168,brake_fluid_p,16424,226,0
5163,timing_chain,58750,837,1
5163,brake_fluid_r,16388,150,0
5171,wire_set,42751,505,1
5164,brake_pads,9117,135,0
5166,fuel_filter,27978,475,1
5169,brake_fluid_p,28287,319,1
5169,brake_fluid_p,37719,449,1
5168,spark_plugs,25115,304,1
5170,air_filter,14034,146,1
5171,timing_chain,47582,638,0
5169,tire,22561,311,0
5164,brake_fluid_p,12287,233,0
5171,timing_chain,26800,383,0
5168,brake_pads,31860,479,1
5162,fuel_filter,11010,183,0
5171,brake_fluid_r,33692,408,1
5166,timing_chain,19834,329,0
5163,fuel_filter,10069,118,0
5165,battery,19485,319,0
5168,timing_chain,35494,331,0
5163,wire_set,58449,538,1
5167,fuel_filter,21449,480,1
5168,brake_pads,25054,438,1
5165,air_filter,10708,59,0
5163,brake_fluid_p,20856,213,0
5164,battery,45132,665,1
5164,tire,49797,734,1
5167,spark_plugs,34399,503,1
5171,brake_fluid_r,16214,159,0
5171,wire_set,45530,422,1
5170,timing_chain,22333,501,0
5165,brake_pads,8884,201,0
5170,wire_set,65404,724,1
5168,brake_fluid_r,13642,147,0
5163,battery,48242,849,1
5163,spark_plugs,14168,225,0
5166,wire_set,34083,266,0
5166,battery,63408,819,1
5168,belts_kit,53961,761,1
5164,brake_fluid_r,17723,247,0
5170,air_filter,12878,141,1
5170,timing_chain,38645,380,0
5169,wire_set,63732,646,1
5166,wire_set,35513,339,0
5165,tire,37276,516,1
5170,tire,54852,649,1
5165,brake_pads,22374,309,1
5164,timing_chain,27468,242,0
5169,air_filter,7247,119,0
5166,tire,27012,237,0
5163,wire_set,17283,272,0
5171,wire_set,41378,433,1
5164,brake_pads,18032,174,0
5162,belts_kit,38862,691,1
5164,wire_set,60264,548,1
5163,fuel_filter,9661,254,0
5166,spark_plugs,23274,341,0
5169,wire_set,20646,312,0
5171,belts_kit,49556,764,1
5163,brake_fluid_r,24250,343,1
5165,brake_fluid_p,24002,328,1
5163,battery,22291,475,0
5169,brake_pads,25619,484,1
5171,wire_set,43742,500,1
5168,wire_set,44146,509,1
5163,brake_fluid_r,11714,123,0
5169,belts_kit,19601,324,0
5163,wire_set,22681,325,0
5170,brake_fluid_p,19240,131,0
5170,spark_plugs,17404,176,0
5171,belts_kit,26122,393,0
5163,air_filter,12298,142,1
5167,fuel_filter,7111,192,0
5165,belts_kit,25419,298,0
5167,brake_fluid_r,40232,441,1
5169,belts_kit,23505,400,0
5168,timing_chain,56879,558,1
5171,timing_chain,35482,368,0
5171,fuel_filter,14336,233,0
5163,fuel_filter,12774,201,0
5163,fuel_filter,7321,206,0
5168,air_filter,11072,75,0
5164,brake_fluid_p,41458,480,1
5166,brake_pads,22775,346,1
5168,fuel_filter,10861,186,0
5170,brake_fluid_r,29291,405,1
5167,brake_fluid_p,11016,210,0
5167,brake_fluid_p,33351,421,1
5169,spark_plugs,10899,233,0
5170,belts_kit,22634,318,0
5165,wire_set,33629,204,0
5166,brake_fluid_p,10480,146,0
5167,brake_pads,20870,333,1
5164,battery,64946,903,1
5169,spark_plugs,26258,278,1
5168,brake_fluid_r,21551,224,0
5169,fuel_filter,6076,215,0
5162,timing_chain,37907,539,0
5171,fuel_filter,10425,213,0
5169,wire_set,30965,335,0
5171,air_filter,12438,168,1
5166,brake_fluid_r,27240,290,1
5164,timing_chain,52500,567,1
5169,battery,17481,235,0
5169,wire_set,32906,256,0
5169,timing_chain,30274,436,0
5166,belts_kit,17499,383,0
5163,brake_fluid_r,22913,337,0
5168,battery,30480,541,0
5170,battery,18420,235,0
5170,belts_kit,25558,212,0
5162,brake_fluid_r,37501,482,1
