car_id,part,current_km,km_diff,days_diff,needs_change
17,tire,133800,16639,591,1
22,fuel_filter,68094,4273,8,0
45,belts_kit,92432,21509,564,1
5,brake_fluid_r,107225,75000,849,1
3,tire,119199,39400,531,1
10,air_filter,197159,7406,163,1
14,tire,78111,25621,273,0
46,tire,43860,35506,359,1
14,fuel_filter,78111,18481,164,0
15,brake_pads,118715,82340,202,1
11,wire_set,94719,43112,206,0
43,air_filter,151363,7833,17,0
8,brake_fluid_r,146737,2236,19,0
24,timing_chain,94669,6890,28,0
37,brake_pads,108132,12933,125,0
22,timing_chain,68094,46233,298,0
21,air_filter,112974,4712,76,0
3,brake_fluid_r,119199,81332,584,1
24,tire,94669,90555,1037,1
14,tire,78111,111952,918,1
11,tire,94719,17081,90,0
49,brake_fluid_p,69800,29713,250,1
2,battery,112695,139410,1233,1
23,air_filter,187811,5723,58,0
48,wire_set,122846,21600,243,0
23,tire,187811,32604,109,0
48,brake_fluid_r,122846,86122,517,1
29,belts_kit,90499,9074,54,0
32,spark_plugs,149249,49931,676,1
43,air_filter,151363,3824,34,0
32,wire_set,149249,45741,841,1
20,brake_pads,92952,14612,157,0
14,belts_kit,78111,16813,155,0
40,tire,100093,5834,12,0
41,tire,53106,23218,205,0
45,spark_plugs,92432,60895,557,1
36,belts_kit,68059,18938,266,0
10,brake_fluid_r,197159,27448,146,1
2,battery,112695,27316,831,1
37,battery,108132,48011,383,1
39,brake_pads,177599,19138,611,1
49,brake_fluid_p,69800,32642,446,1
39,air_filter,177599,13331,276,1
45,belts_kit,92432,24411,292,0
33,brake_fluid_r,195106,14575,197,0
30,tire,134022,79714,467,1
36,wire_set,68059,42991,378,0
29,belts_kit,90499,34253,288,1
26,spark_plugs,137216,20641,84,0
15,brake_fluid_r,118715,34208,288,1
40,belts_kit,100093,8534,81,0
47,brake_fluid_p,144874,35217,2067,1
50,timing_chain,180494,43601,348,0
19,belts_kit,150739,12834,263,0
1,tire,46556,31700,392,1
29,fuel_filter,90499,16035,137,0
29,wire_set,90499,23161,168,0
37,air_filter,108132,8716,162,0
2,belts_kit,112695,97046,763,1
22,timing_chain,68094,37268,308,0
32,spark_plugs,149249,13295,265,0
9,battery,115402,53215,912,1
12,belts_kit,152020,10395,251,0
2,timing_chain,112695,38772,170,0
36,wire_set,68059,23358,285,0
11,tire,94719,12263,93,0
16,wire_set,194937,23454,696,1
31,brake_fluid_p,45372,27950,328,1
21,brake_fluid_r,112974,70439,665,1
35,belts_kit,166942,16989,167,0
19,air_filter,150739,27512,258,1
27,belts_kit,74028,42176,271,1
31,brake_fluid_p,45372,12012,187,0
5,tire,107225,95110,729,1
33,brake_pads,195106,17142,129,0
41,brake_fluid_p,53106,6707,231,0
35,brake_pads,166942,16856,210,0
3,timing_chain,119199,34615,418,0
18,timing_chain,60062,58849,5319,1
47,air_filter,144874,5338,78,0
29,wire_set,90499,56063,437,1
20,wire_set,92952,16810,148,0
2,tire,112695,23679,88,0
29,timing_chain,90499,67614,739,1
36,fuel_filter,68059,8491,195,0
37,air_filter,108132,8960,60,0
37,tire,108132,126641,844,1
6,wire_set,166938,128500,776,1
19,spark_plugs,150739,87438,386,1
7,air_filter,190447,45559,210,1
38,brake_fluid_p,130862,12148,220,0
40,brake_fluid_r,100093,3365,13,0
47,fuel_filter,144874,16885,2087,1
21,fuel_filter,112974,14058,201,0
11,timing_chain,94719,39125,243,0
9,air_filter,115402,563,13,0
29,brake_fluid_r,90499,1715,29,0
39,battery,177599,113056,1199,1
44,wire_set,109334,40315,211,0
39,belts_kit,177599,44898,1429,1
8,brake_fluid_p,146737,59879,647,1
28,brake_fluid_p,86528,18790,115,0
44,wire_set,109334,20299,488,1
33,brake_fluid_r,195106,24310,195,0
22,timing_chain,68094,29172,622,1
24,wire_set,94669,36428,282,0
35,wire_set,166942,44066,313,0
40,air_filter,100093,1747,3,0
10,timing_chain,197159,37278,133,0
32,air_filter,149249,43485,237,1
10,brake_fluid_p,197159,17804,93,0
37,brake_fluid_p,108132,12039,106,0
25,spark_plugs,115678,14644,386,1
41,brake_fluid_r,53106,18354,194,0
24,air_filter,94669,27833,327,1
49,air_filter,69800,10540,72,0
1,brake_fluid_p,46556,12940,69,0
38,fuel_filter,130862,21542,403,1
11,fuel_filter,94719,1208,39,0
17,fuel_filter,133800,47766,793,1
8,belts_kit,146737,14595,159,0
46,air_filter,43860,7904,204,1
33,timing_chain,195106,14590,128,0
17,timing_chain,133800,2015,31,0
32,timing_chain,149249,25334,799,1
27,belts_kit,74028,40638,237,1
28,brake_pads,86528,14435,460,1
3,air_filter,119199,6462,62,0
24,brake_fluid_p,94669,9091,144,0
7,air_filter,190447,1697,23,0
38,wire_set,130862,19426,771,1
13,belts_kit,87164,16939,211,0
46,brake_pads,43860,50210,529,1
3,timing_chain,119199,93179,964,1
33,fuel_filter,195106,16959,167,0
33,brake_fluid_p,195106,7372,123,0
7,timing_chain,190447,21809,328,0
28,belts_kit,86528,9372,219,0
49,wire_set,69800,58259,861,1
10,spark_plugs,197159,6482,27,0
7,belts_kit,190447,37029,1692,1
41,brake_fluid_r,53106,25904,116,1
41,timing_chain,53106,145867,1397,1
14,brake_fluid_r,78111,63853,565,1
19,fuel_filter,150739,17328,119,0
22,spark_plugs,68094,34660,335,1
15,brake_fluid_r,118715,923,45,0
18,spark_plugs,60062,76414,537,1
48,battery,122846,54535,1658,1
48,belts_kit,122846,27306,812,1
42,timing_chain,129900,15587,239,0
17,spark_plugs,133800,32070,445,1
15,brake_fluid_r,118715,31561,258,1
23,brake_fluid_p,187811,19845,330,1
9,belts_kit,115402,14906,294,0
36,timing_chain,68059,1328,40,0
21,belts_kit,112974,15541,190,0
5,tire,107225,21661,162,0
7,battery,190447,22687,418,0
16,wire_set,194937,55272,733,1
23,timing_chain,187811,68005,342,1
23,tire,187811,21424,695,1
45,brake_fluid_r,92432,86390,489,1
15,battery,118715,104487,1776,1
18,wire_set,60062,20006,323,0
25,air_filter,115678,40650,217,1
26,battery,137216,28203,148,0
29,battery,90499,6861,6,0
2,brake_fluid_p,112695,52003,580,1
7,timing_chain,190447,140593,1328,1
13,battery,87164,2286,30,0
50,brake_pads,180494,10897,133,0
1,brake_fluid_r,46556,56215,847,1
19,wire_set,150739,136816,858,1
33,tire,195106,25348,266,0
15,brake_fluid_r,118715,15417,180,0
28,brake_pads,86528,18554,524,1
37,brake_fluid_p,108132,7003,48,0
15,timing_chain,118715,4775,7,0
47,belts_kit,144874,35325,1889,1
46,fuel_filter,43860,17923,162,0
8,belts_kit,146737,4494,43,0
13,belts_kit,87164,1523,9,0
17,spark_plugs,133800,58689,509,1
40,fuel_filter,100093,10296,176,0
13,battery,87164,126302,1169,1
33,fuel_filter,195106,5398,62,0
20,tire,92952,42024,350,1
6,wire_set,166938,28020,251,0
5,spark_plugs,107225,50376,552,1
30,timing_chain,134022,134880,1478,1
24,brake_fluid_r,94669,15169,200,0
22,brake_fluid_p,68094,22965,174,0
31,brake_pads,45372,10318,122,0
7,brake_fluid_p,190447,25739,420,1
24,wire_set,94669,34174,303,0
23,brake_fluid_r,187811,7912,13,0
43,brake_pads,151363,5595,19,0
12,air_filter,152020,37389,342,1
2,spark_plugs,112695,29595,144,1
5,battery,107225,44879,370,0
33,brake_pads,195106,6100,28,0
15,belts_kit,118715,26404,184,0
29,fuel_filter,90499,16804,235,0
46,timing_chain,43860,159078,774,1
47,spark_plugs,144874,33991,2261,1
29,brake_fluid_p,90499,9992,134,0
3,timing_chain,119199,30666,311,0
19,belts_kit,150739,39443,518,1
32,belts_kit,149249,18508,324,0
37,tire,108132,39373,439,1
24,spark_plugs,94669,32321,324,1
50,spark_plugs,180494,30254,365,1
17,battery,133800,115982,1541,1
10,air_filter,197159,14193,62,0
19,brake_pads,150739,15812,409,1
27,wire_set,74028,56434,263,1
49,belts_kit,69800,3621,44,0
36,air_filter,68059,34664,338,1
49,brake_fluid_r,69800,902,11,0
40,air_filter,100093,9305,212,1
22,timing_chain,68094,14338,137,0
31,wire_set,45372,127105,341,1
5,spark_plugs,107225,18368,174,0
10,brake_pads,197159,55508,536,1
25,timing_chain,115678,68014,566,1
6,belts_kit,166938,100915,1026,1
42,wire_set,129900,113460,546,1
43,brake_pads,151363,25806,94,1
40,spark_plugs,100093,61389,835,1
5,brake_fluid_r,107225,19007,375,1
42,timing_chain,129900,50260,400,0
12,brake_pads,152020,47560,851,1
5,tire,107225,17671,135,0
9,belts_kit,115402,41314,1028,1
9,brake_fluid_r,115402,11894,205,0
6,wire_set,166938,22278,505,1
39,timing_chain,177599,21624,675,1
12,fuel_filter,152020,54148,461,1
43,wire_set,151363,11548,31,0
41,tire,53106,74667,903,1
13,battery,87164,29383,424,0
23,spark_plugs,187811,74237,484,1
36,fuel_filter,68059,15404,157,0
37,fuel_filter,108132,8853,49,0
48,tire,122846,4611,11,0
31,belts_kit,45372,21063,533,1
21,battery,112974,11060,126,0
22,tire,68094,21382,708,1
31,air_filter,45372,13042,134,0
40,brake_fluid_r,100093,65035,533,1
13,air_filter,87164,8727,148,1
3,brake_fluid_r,119199,70487,778,1
49,brake_fluid_p,69800,9364,155,0
3,belts_kit,119199,28249,241,0
33,brake_pads,195106,12706,80,0
4,timing_chain,121125,59184,492,1
12,belts_kit,152020,84733,891,1
20,brake_pads,92952,9608,39,0
5,tire,107225,25306,549,1
1,wire_set,46556,25483,197,0
38,tire,130862,20964,182,0
23,brake_fluid_p,187811,62835,565,1
7,tire,190447,107839,983,1
31,brake_fluid_r,45372,62305,546,1
1,belts_kit,46556,14243,297,0
5,brake_pads,107225,5298,67,0
7,tire,190447,5381,10,0
45,fuel_filter,92432,40874,479,1
40,spark_plugs,100093,16754,126,0
36,battery,68059,13773,120,0
16,brake_pads,194937,13236,104,0
21,air_filter,112974,22636,242,1
23,belts_kit,187811,21098,578,1
42,battery,129900,40707,394,0
33,tire,195106,44424,726,1
3,brake_fluid_r,119199,66213,725,1
11,timing_chain,94719,60344,269,1
44,brake_fluid_r,109334,21170,71,0
39,timing_chain,177599,35586,628,1
44,fuel_filter,109334,65662,338,1
26,spark_plugs,137216,13150,79,0
23,spark_plugs,187811,66237,733,1
14,timing_chain,78111,29854,428,0
16,battery,194937,102823,1115,1
47,fuel_filter,144874,8820,111,0
4,battery,121125,15738,305,0
13,brake_fluid_p,87164,56996,729,1
25,timing_chain,115678,53929,547,1
16,battery,194937,31528,240,0
47,brake_fluid_p,144874,35994,124,1
32,air_filter,149249,11895,247,1
1,belts_kit,46556,32397,525,1
9,tire,115402,78423,981,1
28,fuel_filter,86528,13599,432,1
17,brake_fluid_p,133800,53976,595,1
17,fuel_filter,133800,18275,228,0
39,brake_fluid_r,177599,9684,313,1
32,air_filter,149249,5685,236,1
11,brake_pads,94719,14899,101,0
41,battery,53106,12862,64,0
8,air_filter,146737,38134,293,1
27,brake_pads,74028,63706,797,1
37,brake_pads,108132,51565,630,1
22,battery,68094,39564,365,0
19,fuel_filter,150739,9513,342,1
9,air_filter,115402,7304,89,0
4,brake_fluid_p,121125,9841,213,0
29,air_filter,90499,32747,242,1
12,tire,152020,129690,560,1
32,belts_kit,149249,87048,798,1
27,wire_set,74028,44193,209,0
14,brake_fluid_p,78111,27570,355,1
5,brake_fluid_r,107225,16892,210,0
43,brake_pads,151363,13658,62,0
2,belts_kit,112695,114504,677,1
50,tire,180494,22234,211,0
35,fuel_filter,166942,13564,386,1
29,air_filter,90499,15724,104,1
26,belts_kit,137216,8979,25,0
29,brake_fluid_p,90499,15858,407,1
24,brake_fluid_p,94669,12129,186,0
13,brake_pads,87164,12496,121,0
22,air_filter,68094,44615,103,1
50,wire_set,180494,77720,795,1
6,brake_pads,166938,23375,198,1
15,spark_plugs,118715,19376,359,1
50,timing_chain,180494,46971,324,0
6,belts_kit,166938,43417,334,1
8,tire,146737,91377,1079,1
45,battery,92432,20272,69,0
19,battery,150739,33382,260,0
29,air_filter,90499,11117,140,0
21,spark_plugs,112974,17281,130,0
30,fuel_filter,134022,9235,191,0
23,timing_chain,187811,149436,1396,1
40,brake_fluid_r,100093,7190,57,0
2,air_filter,112695,15905,108,1
29,wire_set,90499,88784,985,1
37,brake_pads,108132,29628,326,1
1,fuel_filter,46556,40278,784,1
26,timing_chain,137216,35326,226,0
18,brake_fluid_p,60062,19354,422,1
17,tire,133800,1597,41,0
17,battery,133800,5037,13,0
24,brake_pads,94669,19837,261,1
47,spark_plugs,144874,12606,112,0
3,air_filter,119199,38534,338,1
1,brake_fluid_r,46556,15291,193,0
27,brake_fluid_p,74028,19913,68,0
34,brake_pads,89905,65935,860,1
45,tire,92432,25241,101,0
14,battery,78111,58641,652,1
47,tire,144874,17219,98,0
13,wire_set,87164,24843,203,0
22,wire_set,68094,16554,127,0
30,wire_set,134022,30890,681,1
37,tire,108132,29127,331,0
9,spark_plugs,115402,66696,624,1
13,fuel_filter,87164,13671,190,0
9,wire_set,115402,152595,482,1
15,fuel_filter,118715,8190,103,0
34,wire_set,89905,19561,106,0
26,fuel_filter,137216,2515,39,0
36,belts_kit,68059,129341,729,1
27,fuel_filter,74028,8345,27,0
47,brake_fluid_p,144874,33660,2394,1
49,air_filter,69800,2182,39,0
47,belts_kit,144874,101513,1360,1
30,brake_fluid_p,134022,14129,152,0
27,wire_set,74028,139350,981,1
6,fuel_filter,166938,12378,347,1
28,brake_pads,86528,87144,529,1
30,belts_kit,134022,43981,255,1
29,air_filter,90499,50515,294,1
28,brake_fluid_r,86528,29701,885,1
18,spark_plugs,60062,86281,497,1
8,belts_kit,146737,138955,944,1
3,spark_plugs,119199,14222,408,1
42,brake_pads,129900,13075,149,0
40,air_filter,100093,10531,220,1
16,tire,194937,18778,152,0
34,brake_fluid_p,89905,11488,140,0
40,brake_fluid_r,100093,27714,264,1
48,air_filter,122846,17002,294,1
1,spark_plugs,46556,11296,137,0
31,fuel_filter,45372,16012,112,0
3,battery,119199,138884,1058,1
7,air_filter,190447,9803,270,1
4,tire,121125,17407,501,1
15,brake_fluid_p,118715,6752,56,0
10,air_filter,197159,4681,78,0
29,air_filter,90499,16911,266,1
6,battery,166938,20920,655,1
40,fuel_filter,100093,5106,22,0
6,spark_plugs,166938,12255,208,0
4,spark_plugs,121125,14764,141,0
17,fuel_filter,133800,23237,385,1
36,belts_kit,68059,15880,154,0
38,brake_pads,130862,67005,270,1
38,brake_fluid_p,130862,1576,28,0
2,brake_fluid_p,112695,24136,121,0
45,wire_set,92432,141996,656,1
15,air_filter,118715,1929,34,0
1,belts_kit,46556,33586,272,0
14,brake_fluid_r,78111,10697,110,0
8,brake_fluid_p,146737,20070,997,1
16,spark_plugs,194937,12880,429,1
21,belts_kit,112974,12538,87,0
38,wire_set,130862,30270,701,1
26,battery,137216,13347,31,0
20,timing_chain,92952,193529,1355,1
10,tire,197159,63368,844,1
1,tire,46556,14588,133,0
12,spark_plugs,152020,2198,5,0
25,brake_pads,115678,20581,210,0
1,air_filter,46556,16374,128,1
5,air_filter,107225,5159,46,0
44,air_filter,109334,5269,91,0
42,timing_chain,129900,181705,658,1
38,tire,130862,25358,513,1
12,wire_set,152020,37116,1138,1
28,fuel_filter,86528,8201,211,0
22,fuel_filter,68094,12301,423,1
4,fuel_filter,121125,15544,172,0
43,brake_fluid_r,151363,10451,119,0
32,brake_fluid_r,149249,15183,160,0
36,belts_kit,68059,88432,927,1
50,brake_fluid_p,180494,27585,410,1
30,brake_pads,134022,23608,122,1
12,air_filter,152020,6992,233,1
37,belts_kit,108132,14048,159,0
3,timing_chain,119199,36886,383,0
38,spark_plugs,130862,19597,432,1
36,tire,68059,21155,147,0
6,brake_fluid_r,166938,18734,177,0
37,brake_pads,108132,13054,172,0
27,tire,74028,34628,167,1
49,tire,69800,17331,174,0
20,spark_plugs,92952,99272,338,1
30,brake_fluid_r,134022,17672,369,1
16,spark_plugs,194937,24080,182,0
46,brake_pads,43860,1761,5,0
42,tire,129900,33345,278,0
34,brake_fluid_r,89905,31470,141,1
37,tire,108132,25979,684,1
41,wire_set,53106,17404,659,1
37,brake_fluid_p,108132,79384,710,1
6,timing_chain,166938,15925,154,0
33,brake_fluid_p,195106,21484,290,0
23,belts_kit,187811,78320,915,1
40,wire_set,100093,110813,816,1
6,brake_pads,166938,70540,578,1
25,air_filter,115678,8375,89,0
14,spark_plugs,78111,51226,906,1
46,brake_fluid_r,43860,51151,587,1
50,timing_chain,180494,63459,1002,1
49,brake_fluid_r,69800,22825,270,1
33,belts_kit,195106,22770,307,0
43,battery,151363,47667,196,1
34,brake_fluid_r,89905,21326,103,0
33,timing_chain,195106,8957,21,0
22,brake_fluid_p,68094,5601,69,0
12,fuel_filter,152020,19978,778,1
49,brake_fluid_r,69800,11863,117,0
39,timing_chain,177599,70398,2933,1
19,brake_pads,150739,28472,248,1
27,battery,74028,1485,21,0
39,battery,177599,107742,1117,1
49,spark_plugs,69800,19999,450,1
38,brake_fluid_p,130862,13237,443,1
39,fuel_filter,177599,17077,578,1
25,brake_pads,115678,43866,628,1
1,spark_plugs,46556,51736,873,1
49,air_filter,69800,43561,129,1
12,battery,152020,109316,1743,1
41,brake_pads,53106,23805,119,1
33,tire,195106,93796,994,1
40,timing_chain,100093,30643,227,0
11,belts_kit,94719,26928,590,1
46,spark_plugs,43860,12348,134,0
13,brake_fluid_r,87164,20669,198,0
40,belts_kit,100093,15933,226,0
15,air_filter,118715,9186,86,0
31,timing_chain,45372,70515,667,1
46,belts_kit,43860,36634,363,1
22,timing_chain,68094,70595,837,1
9,wire_set,115402,40761,1377,1
48,wire_set,122846,109302,861,1
38,fuel_filter,130862,49529,661,1
14,spark_plugs,78111,25995,211,0
24,tire,94669,42892,559,1
46,brake_pads,43860,24609,348,1
48,belts_kit,122846,10422,213,0
11,wire_set,94719,25463,281,0
32,spark_plugs,149249,31742,838,1
22,spark_plugs,68094,12670,77,0
11,tire,94719,16237,260,0
19,tire,150739,16351,149,0
9,tire,115402,11046,205,0
43,brake_fluid_p,151363,72498,653,1
12,wire_set,152020,82101,883,1
46,brake_fluid_r,43860,14292,126,0
46,fuel_filter,43860,8819,432,1
37,air_filter,108132,2569,38,0
7,fuel_filter,190447,12133,271,0
28,belts_kit,86528,19749,221,0
43,brake_pads,151363,10225,82,0
50,wire_set,180494,36413,259,0
3,battery,119199,4704,9,0
46,brake_pads,43860,63651,829,1
17,fuel_filter,133800,19320,165,1
5,air_filter,107225,28354,356,1
43,brake_fluid_r,151363,17803,66,0
22,brake_fluid_r,68094,18408,129,0
15,brake_pads,118715,6175,46,0
8,brake_pads,146737,26181,120,1
1,air_filter,46556,9558,177,1
13,fuel_filter,87164,11011,108,0
17,spark_plugs,133800,19238,433,1
33,spark_plugs,195106,15923,382,1
6,fuel_filter,166938,13006,192,0
33,spark_plugs,195106,26862,371,1
45,spark_plugs,92432,2658,12,0
48,battery,122846,25516,834,1
16,brake_fluid_r,194937,26229,181,1
15,timing_chain,118715,29992,253,0
20,belts_kit,92952,86240,769,1
4,battery,121125,35771,288,0
14,belts_kit,78111,79947,926,1
6,brake_fluid_p,166938,77515,735,1
3,brake_fluid_r,119199,14327,166,0
35,belts_kit,166942,42679,425,1
21,timing_chain,112974,56607,537,1
9,spark_plugs,115402,93618,699,1
11,spark_plugs,94719,10358,36,0
44,belts_kit,109334,8665,33,0
48,tire,122846,98513,671,1
37,brake_fluid_r,108132,14303,177,0
35,brake_fluid_p,166942,28200,207,1
32,tire,149249,61131,1151,1
28,brake_pads,86528,67345,766,1
23,tire,187811,44780,166,1
42,tire,129900,75067,1036,1
38,belts_kit,130862,84750,829,1
31,brake_pads,45372,17167,274,0
43,spark_plugs,151363,7426,37,0
9,brake_fluid_r,115402,69600,775,1
42,air_filter,129900,5700,70,0
38,battery,130862,165742,1036,1
8,brake_fluid_r,146737,9451,48,0
47,battery,144874,138180,1119,1
26,timing_chain,137216,117946,1462,1
7,belts_kit,190447,28580,1062,1
23,spark_plugs,187811,62385,551,1
39,brake_fluid_r,177599,17608,101,0
6,air_filter,166938,14081,87,0
12,belts_kit,152020,132691,861,1
13,timing_chain,87164,51428,488,1
11,brake_fluid_r,94719,18474,52,0
1,tire,46556,40781,465,1
37,timing_chain,108132,41916,347,0
11,spark_plugs,94719,3031,6,0
22,brake_fluid_r,68094,14851,319,1
27,spark_plugs,74028,26210,87,0
6,fuel_filter,166938,19003,253,1
32,wire_set,149249,5098,43,0
39,battery,177599,46502,1142,1
5,wire_set,107225,57940,585,1
37,tire,108132,19067,242,0
2,air_filter,112695,5775,67,0
12,battery,152020,40687,780,1
8,tire,146737,100016,1155,1
20,timing_chain,92952,26925,228,0
33,timing_chain,195106,32167,363,0
31,spark_plugs,45372,20473,427,1
15,spark_plugs,118715,17845,188,0
43,tire,151363,88352,382,1
31,spark_plugs,45372,98524,642,1
30,timing_chain,134022,59966,258,1
7,brake_fluid_p,190447,30386,751,1
11,tire,94719,116945,296,1
38,timing_chain,130862,68746,2245,1
41,brake_pads,53106,12928,366,1
45,battery,92432,30183,355,0
2,air_filter,112695,14514,98,1
21,tire,112974,42393,489,1
43,brake_fluid_r,151363,12967,51,0
49,brake_pads,69800,10761,180,0
44,belts_kit,109334,20714,89,0
47,tire,144874,17899,226,0
2,timing_chain,112695,38702,202,0
25,brake_fluid_p,115678,25504,191,1
20,air_filter,92952,16363,261,1
25,brake_fluid_r,115678,18703,153,0
2,brake_fluid_r,112695,91961,311,1
14,timing_chain,78111,26457,425,0
23,brake_pads,187811,13760,207,0
6,battery,166938,29646,334,0
48,brake_pads,122846,18389,468,1
41,brake_fluid_r,53106,26680,112,1
32,brake_fluid_p,149249,35209,1600,1
27,brake_pads,74028,14458,404,1
48,battery,122846,9874,423,0
49,brake_fluid_p,69800,1857,26,0
22,spark_plugs,68094,7980,134,0
3,brake_fluid_r,119199,19177,159,0
36,brake_fluid_r,68059,35947,532,1
36,battery,68059,78278,993,1
41,brake_fluid_r,53106,22829,970,1
16,battery,194937,7218,42,0
2,brake_fluid_p,112695,3761,5,0
43,tire,151363,36642,207,1
34,spark_plugs,89905,20672,157,0
19,belts_kit,150739,15915,249,0
37,brake_fluid_p,108132,10061,77,0
6,wire_set,166938,33621,473,0
14,brake_fluid_r,78111,22541,165,0
32,spark_plugs,149249,28577,509,1
40,brake_pads,100093,1279,25,0
11,spark_plugs,94719,15987,175,0
9,battery,115402,27324,775,1
39,air_filter,177599,8200,186,1
29,brake_pads,90499,12423,163,0
48,belts_kit,122846,35439,870,1
8,brake_fluid_p,146737,15152,206,0
8,brake_fluid_p,146737,2105,17,0
28,tire,86528,78517,850,1
27,tire,74028,108542,1068,1
49,brake_fluid_r,69800,30046,241,1
7,fuel_filter,190447,8717,401,1
39,brake_fluid_p,177599,3237,39,0
13,tire,87164,15700,227,0
49,wire_set,69800,30393,247,0
49,belts_kit,69800,5691,9,0
4,tire,121125,24884,278,0
9,wire_set,115402,24724,249,0
33,brake_pads,195106,51926,291,1
3,brake_fluid_r,119199,30721,227,1
27,fuel_filter,74028,9050,189,0
6,timing_chain,166938,4182,40,0
37,brake_fluid_p,108132,75043,697,1
41,spark_plugs,53106,21848,106,0
49,timing_chain,69800,29888,377,0
30,battery,134022,951,13,0
7,brake_fluid_r,190447,14738,424,1
9,brake_fluid_p,115402,8099,231,0
6,battery,166938,36745,423,0
47,brake_fluid_p,144874,99575,340,1
24,brake_fluid_r,94669,16563,160,0
35,battery,166942,20642,185,0
50,air_filter,180494,11357,87,0
49,brake_pads,69800,50061,551,1
40,brake_pads,100093,2991,27,0
3,belts_kit,119199,62863,1085,1
22,belts_kit,68094,1319,24,0
26,air_filter,137216,851,19,0
43,timing_chain,151363,24735,422,0
33,tire,195106,28848,379,0
38,spark_plugs,130862,83589,444,1
13,air_filter,87164,10507,171,1
16,battery,194937,45883,699,1
33,timing_chain,195106,32899,860,1
41,air_filter,53106,4078,669,1
8,fuel_filter,146737,13093,315,1
11,fuel_filter,94719,11877,454,1
28,spark_plugs,86528,3537,3,0
30,brake_fluid_p,134022,24237,158,0
