car_id,part,current_km,km_diff,days_diff,needs_change,last_change_km
35,oil,181916,3625,56,0,178291.0
4,brake_pads,70391,8152,217,0,62239.0
21,brake_pads,100209,14049,703,1,86160.0
5,air_filter,127827,3815,108,0,124012.0
38,brake_fluid_p,130862,13661,383,1,
20,oil,138865,2421,123,0,136444.0
22,spark_plugs,45272,29984,104,0,15288.0
42,tires,71180,80258,570,1,-9078.0
39,air_filter,57725,5923,255,0,51802.0
27,spark_plugs,73703,29478,592,1,44225.0
48,oil,102354,4551,85,1,97803.0
46,spark_plugs,142972,62264,858,1,80708.0
17,tires,51055,57705,1506,1,-6650.0
1,air_filter,63557,13272,351,1,
22,battery,68094,51772,377,1,
20,air_filter,86141,16102,59,1,70039.0
49,tires,62083,28850,100,0,33233.0
39,oil,146319,3888,179,1,142431.0
10,battery,50613,24789,457,1,25824.0
30,spark_plugs,72130,21427,550,0,50703.0
11,battery,144188,41027,597,0,103161.0
9,air_filter,84656,7910,62,0,76746.0
2,fuel_filter,71479,11488,765,1,59991.0
8,battery,136304,27362,891,0,108942.0
20,oil,103404,2081,72,0,101323.0
20,air_filter,104229,4168,324,0,
43,oil,102103,1241,9,0,100862.0
29,battery,111008,19980,1149,0,91028.0
42,spark_plugs,152429,25912,783,1,126517.0
40,air_filter,123576,3732,47,0,119844.0
3,air_filter,85424,5074,162,1,80350.0
12,air_filter,99407,7608,68,1,91799.0
15,fuel_filter,116931,31605,209,1,85326.0
10,air_filter,83011,13499,172,1,69512.0
2,battery,132727,3537,746,0,129190.0
30,tires,102879,16590,1,0,86289.0
49,air_filter,119759,3330,231,0,116429.0
50,spark_plugs,74979,22414,787,0,52565.0
20,tires,119513,46467,867,0,73046.0
41,fuel_filter,88900,10296,135,0,78604.0
28,brake_pads,80943,14875,405,0,66068.0
23,oil,109983,2666,150,1,107317.0
14,spark_plugs,219288,15035,653,0,204253.0
43,oil,176472,10422,72,0,166050.0
5,tires,113762,32307,813,1,81455.0
13,fuel_filter,85388,11697,276,0,73691.0
17,oil,72582,3066,17,1,69516.0
46,brake_pads,107052,5949,291,0,101103.0
19,spark_plugs,179647,24255,623,0,155392.0
15,brake_pads,143145,15378,117,1,127767.0
3,brake_pads,142008,2681,731,0,139327.0
20,oil,120877,8130,86,1,112747.0
25,battery,76743,45337,1115,1,31406.0
21,spark_plugs,121617,28325,846,1,93292.0
34,fuel_filter,101671,4513,352,0,97158.0
24,fuel_filter,50316,6819,45,0,43497.0
20,air_filter,150718,4840,129,0,145878.0
29,spark_plugs,103871,10799,997,0,93072.0
25,battery,147726,24864,1414,0,122862.0
32,tires,179401,51811,1768,1,127590.0
37,brake_pads,118792,1176,512,0,117616.0
1,tires,123095,66122,160,0,56973.0
16,spark_plugs,114212,16432,1096,0,97780.0
39,tires,148351,45269,2382,1,103082.0
30,battery,99853,29593,252,0,
32,oil,69424,3045,41,0,66379.0
33,spark_plugs,129885,27012,666,1,102873.0
38,brake_pads,139983,13531,172,0,126452.0
32,fuel_filter,112830,14178,45,1,98652.0
11,fuel_filter,46800,14311,92,0,32489.0
43,fuel_filter,123485,21534,1,1,101951.0
35,fuel_filter,115537,10572,21,0,104965.0
31,battery,96011,10673,131,0,
45,air_filter,108872,15283,217,1,93589.0
24,air_filter,84415,2693,103,0,81722.0
25,battery,48164,82752,1468,1,-34588.0
41,fuel_filter,105675,11759,473,1,93916.0
43,brake_pads,151363,15009,66,0,
49,spark_plugs,65127,6084,786,0,59043.0
20,air_filter,71571,10316,1,0,61255.0
33,battery,125139,72804,1048,1,52335.0
13,air_filter,111612,5779,423,1,105833.0
23,battery,64083,35389,643,0,28694.0
37,air_filter,99813,2405,127,0,97408.0
47,spark_plugs,85545,42509,361,1,43036.0
1,fuel_filter,99054,15710,1,0,83344.0
32,fuel_filter,102525,11818,177,0,90707.0
10,tires,138426,41849,547,0,96577.0
48,air_filter,86261,13500,1,0,72761.0
36,tires,126624,46552,673,0,80072.0
45,air_filter,105653,9231,252,0,96422.0
50,spark_plugs,82575,32124,535,1,50451.0
20,oil,153362,2446,62,1,150916.0
47,oil,109776,3543,60,0,106233.0
28,fuel_filter,86528,12604,268,0,
45,brake_pads,62062,28995,121,1,
42,air_filter,92300,6204,61,0,86096.0
22,battery,145619,31279,336,0,114340.0
3,battery,34911,22894,112,0,12017.0
36,air_filter,147148,8731,97,0,138417.0
49,battery,75466,14694,242,0,60772.0
27,spark_plugs,58684,21662,375,0,37022.0
17,spark_plugs,157895,12071,361,0,145824.0
50,fuel_filter,140124,14253,227,0,125871.0
47,spark_plugs,166872,16051,42,1,150821.0
40,oil,97202,2372,69,0,94830.0
46,battery,143442,91414,200,1,52028.0
29,oil,121027,4721,84,0,116306.0
31,fuel_filter,124862,6672,158,0,118190.0
27,oil,52194,3826,46,0,48368.0
31,tires,150840,56580,2150,1,94260.0
40,tires,115387,35053,2122,1,80334.0
13,brake_pads,216709,11286,458,0,205423.0
9,tires,161536,27075,2764,1,134461.0
14,fuel_filter,79603,10624,575,1,68979.0
43,brake_pads,57413,8405,444,0,49008.0
24,oil,36735,5691,29,0,31044.0
30,tires,104545,37522,1013,0,67023.0
17,air_filter,184811,5482,84,0,179329.0
46,oil,76175,3412,111,0,72763.0
34,spark_plugs,104687,26778,398,0,77909.0
18,battery,50119,81441,1,1,-31322.0
40,battery,117057,31351,183,0,85706.0
19,spark_plugs,90119,25870,260,0,64249.0
4,air_filter,117706,10952,343,1,
48,fuel_filter,73936,9056,304,1,64880.0
43,brake_pads,95408,19837,738,0,75571.0
34,oil,118515,4794,103,1,113721.0
13,oil,134653,5747,39,0,128906.0
32,spark_plugs,53925,25616,311,0,28309.0
4,tires,98913,36162,691,0,62751.0
28,fuel_filter,75857,10835,932,1,65022.0
25,air_filter,98840,2846,50,0,95994.0
11,air_filter,87259,5573,3,0,81686.0
36,fuel_filter,148104,11060,500,1,137044.0
18,fuel_filter,95271,16856,664,1,78415.0
46,tires,137451,79092,1685,1,58359.0
34,brake_pads,82102,2409,612,0,79693.0
32,battery,81297,31158,863,0,50139.0
27,oil,79823,9527,1,1,70296.0
7,tires,79782,40524,1017,0,39258.0
45,air_filter,88093,8692,124,0,79401.0
25,spark_plugs,72975,20429,704,0,52546.0
39,brake_pads,94645,575,223,0,94070.0
39,air_filter,140828,6510,77,0,134318.0
13,oil,201261,4566,29,0,196695.0
47,fuel_filter,40490,13813,248,0,26677.0
43,air_filter,144828,0,100,0,144828.0
6,brake_pads,80682,18236,449,1,62446.0
27,oil,161196,5578,51,0,155618.0
35,air_filter,187753,6481,284,1,181272.0
26,fuel_filter,137216,61366,388,1,
15,brake_pads,85031,31605,65,1,53426.0
23,air_filter,131434,6734,152,0,124700.0
11,fuel_filter,38312,11076,266,0,27236.0
39,brake_pads,153611,40283,492,1,113328.0
31,brake_pads,120895,13862,101,0,107033.0
42,wire_set,129900,32360,495,1,
24,oil,152409,6010,99,1,146399.0
16,oil,146524,2455,33,0,144069.0
46,fuel_filter,103618,15594,384,1,88024.0
7,oil,163965,9482,86,1,154483.0
34,battery,126683,27297,730,0,99386.0
37,spark_plugs,76761,42914,535,1,33847.0
34,tires,125453,17687,129,0,107766.0
7,brake_pads,72719,15033,630,1,57686.0
40,brake_pads,70495,10799,487,0,59696.0
21,battery,102456,22112,843,0,80344.0
49,battery,114838,17042,549,0,97796.0
40,air_filter,95318,7172,375,1,88146.0
38,fuel_filter,130148,6645,254,0,123503.0
40,fuel_filter,119891,7649,478,1,112242.0
15,oil,132773,6350,58,1,126423.0
1,brake_fluid_p,46556,24981,154,0,
4,fuel_filter,104718,12313,509,1,92405.0
24,brake_fluid_p,94669,70096,768,1,
17,fuel_filter,147774,14659,298,0,
34,tires,120751,122913,360,1,-2162.0
3,tires,149270,32155,339,0,117115.0
32,oil,77647,9847,63,1,67800.0
6,battery,37281,22220,1114,0,15061.0
5,oil,146454,6753,363,1,
13,air_filter,144602,7151,252,1,137451.0
15,brake_pads,105384,20375,566,1,85009.0
26,spark_plugs,141698,23046,326,0,118652.0
34,belts_kit,89905,18782,142,0,
31,tires,140662,52563,750,0,88099.0
35,fuel_filter,98674,21584,393,1,
23,battery,104197,28596,285,0,75601.0
12,spark_plugs,124635,24995,542,0,99640.0
27,air_filter,149611,6190,127,0,143421.0
39,brake_pads,77474,23424,350,1,54050.0
15,brake_pads,140102,20481,38,0,119621.0
9,fuel_filter,150526,7022,182,0,143504.0
14,spark_plugs,82281,28502,134,0,53779.0
23,oil,142419,6024,57,1,136395.0
17,battery,120242,45641,738,1,74601.0
31,brake_pads,107477,14491,417,0,92986.0
15,fuel_filter,175549,9999,200,0,165550.0
18,brake_pads,149429,23567,253,1,125862.0
20,spark_plugs,115196,11250,1289,0,103946.0
13,air_filter,128253,5944,394,1,122309.0
2,air_filter,79382,5717,216,0,73665.0
46,oil,250398,1617,88,0,248781.0
29,spark_plugs,72493,28427,929,1,44066.0
5,battery,78065,21293,365,1,56772.0
30,brake_pads,85101,22291,365,1,62810.0
25,oil,112787,4993,33,0,107794.0
7,air_filter,104770,9782,145,1,94988.0
45,battery,92432,996,37,0,
23,oil,77001,2675,136,1,74326.0
27,fuel_filter,127172,30940,304,1,96232.0
25,fuel_filter,92538,14468,85,0,78070.0
25,battery,106834,39016,868,0,67818.0
39,tires,123898,23230,241,0,100668.0
34,air_filter,77187,3371,201,1,73816.0
4,oil,117529,7456,26,1,110073.0
38,air_filter,109569,5753,346,1,103816.0
19,battery,113748,42756,425,0,70992.0
11,air_filter,166923,4624,387,0,162299.0
38,tires,138301,34065,1560,0,104236.0
8,tires,86845,101095,765,1,-14250.0
30,air_filter,109684,2970,76,0,106714.0
38,oil,21591,8039,1,1,13552.0
31,spark_plugs,75606,24402,1115,0,51204.0
18,oil,161637,1535,81,0,160102.0
27,fuel_filter,143870,11971,250,0,131899.0
42,oil,95265,2026,69,0,93239.0
37,tires,124844,132224,810,1,-7380.0
31,spark_plugs,131715,22219,306,0,109496.0
40,tires,129419,29640,759,1,99779.0
9,spark_plugs,139337,65676,576,1,73661.0
42,spark_plugs,167185,29489,558,0,137696.0
24,brake_pads,89603,26834,251,1,62769.0
28,battery,113030,42790,386,0,70240.0
4,spark_plugs,5000,10393,321,0,-5393.0
40,brake_pads,94981,6327,134,0,88654.0
20,air_filter,105155,7914,517,0,97241.0
9,air_filter,92209,1219,392,0,90990.0
50,air_filter,124658,9089,102,0,115569.0
33,spark_plugs,73929,26464,232,1,47465.0
14,air_filter,137751,5039,180,0,132712.0
30,brake_pads,68905,29937,234,1,38968.0
1,tires,85532,17392,751,0,68140.0
36,fuel_filter,113143,21679,101,1,91464.0
43,battery,91746,37160,80,0,54586.0
37,oil,149080,4667,72,0,144413.0
21,spark_plugs,67204,16304,164,0,50900.0
40,battery,103619,36715,1592,1,66904.0
27,oil,155306,2199,38,0,153107.0
24,air_filter,94462,4552,82,0,89910.0
24,fuel_filter,126458,21616,827,1,104842.0
47,tires,52088,59867,1031,1,-7779.0
44,spark_plugs,80897,27132,308,0,53765.0
6,oil,94911,2385,51,0,92526.0
45,fuel_filter,17537,5668,204,1,11869.0
45,oil,150830,2941,108,0,147889.0
8,spark_plugs,69826,14881,153,0,54945.0
44,brake_pads,141972,18503,298,0,123469.0
49,battery,98976,52795,402,0,46181.0
35,tires,144279,33714,1257,0,110565.0
47,tires,122827,56144,2166,1,66683.0
44,fuel_filter,154556,23621,103,1,130935.0
38,brake_pads,140920,10678,256,0,130242.0
29,tires,118333,82334,605,1,35999.0
22,brake_pads,157226,26667,1,0,130559.0
42,brake_pads,90437,26179,766,1,64258.0
13,spark_plugs,125132,34080,400,1,91052.0
36,spark_plugs,134789,24708,478,1,110081.0
3,brake_pads,83916,18957,52,0,64959.0
45,oil,139029,823,117,0,138206.0
11,spark_plugs,111747,26999,111,0,84748.0
3,oil,157580,3735,84,0,153845.0
42,brake_pads,76173,15744,369,0,60429.0
15,spark_plugs,119894,24587,1029,1,95307.0
47,tires,114991,51340,496,0,63651.0
27,oil,125545,2212,37,0,123333.0
32,battery,118295,47399,655,1,70896.0
25,air_filter,160200,6071,73,0,154129.0
38,battery,137338,87392,1954,1,49946.0
35,oil,101084,7527,44,1,93557.0
36,fuel_filter,63544,4679,152,0,58865.0
34,tires,90329,47331,1319,1,42998.0
16,spark_plugs,110774,22098,599,0,88676.0
11,spark_plugs,143532,26380,347,0,117152.0
41,tires,186883,47762,2002,1,139121.0
1,air_filter,90089,4079,259,0,86010.0
45,air_filter,111363,5783,153,0,105580.0
30,fuel_filter,114205,18043,383,1,96162.0
32,air_filter,83312,6025,189,0,77287.0
14,tires,114277,60371,243,0,53906.0
42,spark_plugs,138836,22924,260,0,115912.0
32,brake_pads,104854,1162,329,0,103692.0
36,air_filter,105340,6411,178,0,98929.0
13,air_filter,87164,47541,332,1,
2,oil,120323,11490,14,1,108833.0
14,spark_plugs,85617,27075,408,0,58542.0
14,oil,60512,2670,1,0,57842.0
8,tires,155109,36341,618,0,118768.0
44,spark_plugs,53698,20493,702,0,33205.0
27,brake_pads,95965,5579,251,0,90386.0
17,spark_plugs,81161,36407,255,0,44754.0
4,air_filter,48631,6757,84,0,41874.0
10,fuel_filter,173080,17824,332,1,155256.0
18,tires,134022,100625,258,1,33397.0
26,tires,68128,45713,1197,0,22415.0
17,tires,121320,56481,1293,1,64839.0
46,air_filter,128488,6853,186,0,121635.0
20,oil,161268,3956,72,0,157312.0
50,fuel_filter,103774,12426,104,0,91348.0
21,oil,153744,1798,218,0,151946.0
8,battery,85652,981,468,0,84671.0
4,tires,76753,49078,835,0,27675.0
29,fuel_filter,75890,12393,310,0,63497.0
44,brake_pads,100663,17455,314,0,83208.0
37,spark_plugs,125942,28488,362,0,97454.0
21,fuel_filter,125675,7516,350,0,118159.0
42,fuel_filter,82205,13776,268,0,68429.0
22,spark_plugs,65657,48569,917,1,17088.0
16,battery,149159,38859,718,0,110300.0
1,brake_fluid_p,46556,14279,204,0,
30,fuel_filter,70500,10177,298,0,60323.0
20,tires,92883,13512,1216,0,79371.0
30,air_filter,96654,6431,173,0,90223.0
24,air_filter,118008,7230,72,0,110778.0
21,fuel_filter,119178,8605,113,0,110573.0
11,oil,90557,8683,78,1,81874.0
15,battery,103089,33802,573,0,69287.0
43,oil,115464,4480,75,1,110984.0
24,fuel_filter,86419,7952,202,0,78467.0
29,brake_pads,163635,18675,582,1,144960.0
45,battery,65346,37280,1751,0,28066.0
16,spark_plugs,101570,27610,365,0,73960.0
31,fuel_filter,72739,20477,106,1,52262.0
50,tires,135168,55008,356,0,80160.0
30,air_filter,171697,8263,152,0,163434.0
1,tires,75962,35509,462,0,40453.0
9,air_filter,118196,7412,185,0,110784.0
28,tires,138548,16711,538,0,121837.0
46,brake_pads,39721,13938,122,0,25783.0
39,brake_pads,66957,20639,269,0,46318.0
3,battery,152884,101861,131,1,51023.0
46,tires,46338,1980,419,0,44358.0
20,oil,76253,2913,90,0,73340.0
1,spark_plugs,122158,28258,994,1,93900.0
11,tires,97549,35045,1347,0,62504.0
7,spark_plugs,140463,25330,1048,0,115133.0
17,fuel_filter,110806,15296,193,1,95510.0
43,oil,53443,3734,156,1,49709.0
46,oil,121685,5345,55,0,116340.0
32,brake_pads,126620,17463,154,0,109157.0
33,battery,91273,39133,1316,1,52140.0
18,air_filter,174043,4847,86,0,169196.0
19,oil,150488,4879,91,0,145609.0
29,oil,92408,3137,64,1,89271.0
32,spark_plugs,56710,24739,273,0,31971.0
47,battery,126529,37039,936,0,89490.0
37,air_filter,119333,1840,283,1,117493.0
47,air_filter,165743,6537,235,0,159206.0
13,battery,78369,33893,725,0,44476.0
1,spark_plugs,147277,13371,279,0,133906.0
20,tires,103042,28712,567,0,74330.0
29,battery,133047,42693,547,0,90354.0
33,air_filter,73453,5824,112,0,
33,battery,138608,36653,982,0,101955.0
17,air_filter,204297,5184,184,0,199113.0
29,brake_pads,142796,38721,65,1,104075.0
15,tires,163395,43114,308,0,120281.0
37,brake_pads,100075,19896,158,0,80179.0
34,oil,101570,5861,56,1,95709.0
24,tires,153062,41984,2275,0,111078.0
3,spark_plugs,146852,15854,616,0,130998.0
7,air_filter,104126,6487,147,0,97639.0
41,tires,153836,31089,1500,0,122747.0
42,air_filter,73539,6114,333,1,67425.0
43,tires,119501,33664,1163,0,85837.0
46,tire,43860,114245,556,1,
13,spark_plugs,107094,17718,607,0,89376.0
39,spark_plugs,114615,32509,356,0,82106.0
8,tires,143777,49712,571,0,94065.0
46,air_filter,155778,4416,61,1,151362.0
27,brake_pads,63726,23686,94,1,
36,tires,154784,47223,792,0,107561.0
26,battery,137216,15464,64,0,
27,air_filter,104926,4802,155,0,100124.0
28,oil,96656,6008,75,1,90648.0
8,fuel_filter,127960,33595,286,1,94365.0
26,spark_plugs,117384,31554,742,1,85830.0
49,air_filter,48228,4857,138,0,43371.0
40,battery,94959,116469,1366,1,-21510.0
19,tires,84734,43530,1075,0,41204.0
33,air_filter,56174,5647,65,0,50527.0
19,spark_plugs,103992,8296,563,0,95696.0
28,brake_pads,134179,12311,492,0,121868.0
9,oil,140213,3849,183,1,136364.0
25,air_filter,155546,10003,397,1,145543.0
27,battery,97245,40437,532,1,56808.0
11,air_filter,181188,7218,185,0,173970.0
43,fuel_filter,154989,14691,197,0,140298.0
18,air_filter,108606,14913,1,1,93693.0
35,air_filter,166942,8328,46,0,
15,oil,105543,3017,56,0,102526.0
21,brake_pads,155700,8363,132,0,147337.0
4,brake_fluid_r,121125,10585,153,0,
20,spark_plugs,166671,15253,384,1,151418.0
5,tires,170123,32667,1423,0,137456.0
25,spark_plugs,96822,57464,326,1,39358.0
18,spark_plugs,117277,25759,669,0,91518.0
4,brake_pads,88684,9198,292,0,79486.0
22,spark_plugs,143756,10478,265,0,133278.0
9,tires,130362,65169,923,1,65193.0
31,tires,116611,50111,278,0,66500.0
9,battery,91109,22004,1880,1,69105.0
30,battery,45000,5376,1092,0,39624.0
23,air_filter,171870,17366,77,1,154504.0
30,brake_pads,110467,12166,347,0,98301.0
24,tires,104034,29314,430,0,74720.0
9,air_filter,101138,5989,250,1,95149.0
2,air_filter,130698,14908,215,1,
44,air_filter,102446,7342,78,0,95104.0
10,brake_pads,112729,20791,4,0,91938.0
19,tires,89775,51832,661,0,37943.0
41,brake_fluid_r,53106,127,43,0,
36,brake_pads,99631,11176,51,0,88455.0
13,brake_pads,23621,15489,196,0,8132.0
31,battery,46707,40031,794,0,6676.0
42,fuel_filter,127730,20322,120,1,107408.0
10,spark_plugs,109098,7633,1,0,101465.0
42,brake_pads,139700,13205,339,0,126495.0
37,spark_plugs,60708,22412,312,0,38296.0
2,battery,106013,38501,647,0,67512.0
28,air_filter,102691,7753,72,1,94938.0
10,spark_plugs,121045,12102,201,0,108943.0
36,spark_plugs,94679,21818,894,1,72861.0
30,fuel_filter,123487,12376,117,1,111111.0
6,tires,65902,66758,659,0,-856.0
3,battery,149056,60003,1011,1,89053.0
32,brake_pads,116617,15194,187,1,101423.0
1,air_filter,209645,1743,389,0,207902.0
11,fuel_filter,130166,18776,166,1,111390.0
29,battery,144947,48996,587,1,95951.0
21,battery,104670,19103,710,0,85567.0
22,spark_plugs,106646,24073,204,0,82573.0
45,air_filter,61914,6146,285,1,55768.0
19,fuel_filter,172867,6648,333,0,166219.0
23,battery,146097,63622,1362,1,82475.0
9,battery,128400,32366,1768,1,96034.0
35,oil,99172,3354,58,0,95818.0
48,air_filter,129401,11377,93,1,
8,oil,91603,1932,163,1,89671.0
9,spark_plugs,133525,5538,163,0,127987.0
30,fuel_filter,33021,9317,316,0,23704.0
31,brake_pads,171783,14350,103,0,157433.0
33,battery,149621,26262,1309,0,123359.0
6,battery,165432,27644,1224,0,137788.0
40,spark_plugs,98873,10822,40,0,88051.0
29,fuel_filter,56462,12591,276,0,
16,brake_pads,145779,13464,148,0,132315.0
33,battery,141405,89165,540,1,52240.0
39,oil,155494,4471,204,1,151023.0
1,brake_pads,83550,20816,565,1,62734.0
14,spark_plugs,150554,22757,830,1,127797.0
22,fuel_filter,124793,19579,15,0,105214.0
19,air_filter,134995,6324,1,0,128671.0
30,battery,33845,65812,884,1,-31967.0
27,oil,101823,6633,126,1,95190.0
42,battery,178762,15906,1610,0,162856.0
1,spark_plugs,65429,28511,354,0,36918.0
41,fuel_filter,27624,11391,380,0,16233.0
33,brake_pads,120741,8412,1,0,112329.0
41,spark_plugs,54863,32797,364,1,22066.0
13,fuel_filter,154733,10802,247,0,143931.0
13,oil,130914,3673,101,0,127241.0
44,spark_plugs,44460,26939,421,0,17521.0
35,brake_pads,118770,38866,63,1,79904.0
44,fuel_filter,116549,2746,365,0,113803.0
29,spark_plugs,96611,27113,532,0,69498.0
7,brake_pads,73146,13998,440,0,59148.0
5,oil,109913,2115,21,0,107798.0
41,tires,126341,35275,468,0,91066.0
41,tires,82896,26840,819,0,56056.0
31,battery,60110,27424,562,0,32686.0
6,tires,138502,31652,110,0,
18,spark_plugs,60062,27408,1089,1,
48,battery,107326,41443,1210,1,65883.0
18,spark_plugs,210807,26528,85,1,184279.0
35,battery,108342,43836,1087,1,64506.0
7,fuel_filter,104049,25912,380,1,78137.0
34,air_filter,127111,4322,140,1,122789.0
22,brake_pads,72920,18118,450,1,54802.0
32,tires,93382,41533,340,0,
38,fuel_filter,42586,1960,46,0,40626.0
12,tires,146056,33156,1133,0,112900.0
38,fuel_filter,162457,7513,210,0,154944.0
50,tires,137305,68948,1240,1,68357.0
48,battery,164435,43703,593,0,120732.0
11,battery,88063,21913,632,0,66150.0
43,oil,202970,9927,84,1,193043.0
50,oil,57219,3702,50,0,53517.0
40,brake_pads,84775,27939,492,1,56836.0
6,tires,95294,38576,951,0,56718.0
45,tires,167042,29499,1152,0,137543.0
23,spark_plugs,110599,9673,199,0,100926.0
49,oil,64916,3836,3,0,61080.0
40,fuel_filter,75010,15938,151,0,59072.0
38,spark_plugs,101499,20588,1078,1,80911.0
19,tires,118601,37692,431,1,80909.0
37,oil,158121,6568,82,1,151553.0
33,battery,136273,68548,1189,1,67725.0
12,air_filter,100142,5120,148,0,95022.0
22,brake_pads,129654,13744,288,0,115910.0
12,tires,145301,40109,304,0,105192.0
15,spark_plugs,50891,15139,556,0,35752.0
3,air_filter,98231,2019,251,0,96212.0
31,oil,120730,1596,62,0,119134.0
40,air_filter,134138,6648,319,1,127490.0
27,tires,190758,31708,2175,0,159050.0
33,spark_plugs,115785,9095,643,0,106690.0
15,tires,144712,55222,1003,0,89490.0
18,fuel_filter,167596,6304,134,0,161292.0
16,air_filter,63744,10962,206,1,52782.0
32,fuel_filter,133151,15116,643,1,118035.0
31,tires,175801,59036,492,0,116765.0
43,fuel_filter,171329,25090,475,1,146239.0
31,fuel_filter,102676,13192,264,0,89484.0
24,battery,112118,19235,322,1,92883.0
18,tires,186478,93656,913,1,92822.0
18,air_filter,100951,3296,161,0,97655.0
4,spark_plugs,113018,26997,367,0,86021.0
20,tires,110054,54898,612,0,55156.0
12,oil,127738,4578,1,0,123160.0
43,spark_plugs,112202,17843,1124,1,94359.0
8,battery,87711,13118,1,0,74593.0
43,oil,183958,3967,106,0,179991.0
30,oil,112974,3771,25,1,109203.0
34,fuel_filter,122621,0,289,0,122621.0
30,brake_pads,180797,12729,780,0,168068.0
39,tires,66485,52230,125,0,14255.0
25,tires,203516,27142,1322,0,176374.0
25,tires,128192,41599,812,0,86593.0
31,brake_pads,88610,17101,428,0,71509.0
5,fuel_filter,88695,13808,143,0,74887.0
41,battery,58676,45327,149,0,13349.0
31,spark_plugs,45372,98524,642,1,
22,fuel_filter,91702,21364,375,1,70338.0
48,fuel_filter,81650,9922,183,0,71728.0
34,brake_pads,174661,27753,460,0,146908.0
23,battery,92318,33556,553,0,58762.0
27,fuel_filter,161979,14329,273,0,147650.0
46,oil,83391,2908,217,0,
24,fuel_filter,63737,4824,184,0,58913.0
32,spark_plugs,170124,26120,125,0,144004.0
28,air_filter,82927,7695,79,0,75232.0
18,fuel_filter,105738,6352,262,0,99386.0
10,brake_pads,77361,33173,748,1,44188.0
34,battery,96527,39344,1058,1,57183.0
40,oil,99658,7679,64,1,91979.0
31,spark_plugs,76004,23563,325,0,52441.0
33,oil,91550,3185,196,1,88365.0
30,fuel_filter,62596,0,94,0,62596.0
18,brake_pads,110813,15811,171,0,95002.0
41,brake_pads,61801,13544,341,0,48257.0
45,battery,111086,94328,736,1,16758.0
46,spark_plugs,93283,22323,930,0,70960.0
10,tires,59208,34007,249,0,
9,tires,84007,76395,167,0,7612.0
13,battery,50831,22294,398,0,
32,fuel_filter,85971,18078,538,0,67893.0
5,oil,87092,2567,61,0,84525.0
